full_sq,life_sq,floor,max_floor,build_year,num_room,kitch_sq,sub_area,price_doc
77,,3.0,25.0,,3.0,1.0,Poselenie Moskovskij,7071250
45,29.0,3.0,5.0,1966.0,2.0,5.0,Akademicheskoe,7900000
109,50.0,5.0,40.0,2012.0,2.0,24.0,Akademicheskoe,22630000
39,22.0,2.0,12.0,1974.0,2.0,6.0,Ochakovo-Matveevskoe,7200000
66,36.0,11.0,17.0,2014.0,2.0,16.0,Poselenie Sosenskoe,4473000
44,30.0,3.0,5.0,1961.0,2.0,5.0,Kotlovka,7300000
79,79.0,14.0,17.0,0.0,3.0,1.0,Nekrasovka,8333550
32,20.0,2.0,5.0,1964.0,1.0,5.0,Metrogorodok,5000000
74,74.0,16.0,,,,,Nekrasovka,6255627
61,,14.0,17.0,2014.0,2.0,1.0,Tverskoe,6973392
133,79.0,5.0,18.0,2012.0,4.0,14.0,Begovoe,7000000
50,30.0,2.0,12.0,2000.0,2.0,8.0,Juzhnoe Butovo,7450000
34,34.0,2.0,5.0,0.0,1.0,0.0,Poselenie Novofedorovskoe,2394300
57,40.0,10.0,10.0,1969.0,3.0,6.0,Vyhino-Zhulebino,7000000
25,14.0,7.0,9.0,1972.0,1.0,5.0,Veshnjaki,4750000
42,42.0,9.0,,,,,Krjukovo,4389000
34,31.0,14.0,1.0,2016.0,1.0,1.0,Mitino,6480273
84,59.0,6.0,8.0,1959.0,3.0,8.0,Lomonosovskoe,20000000
34,19.0,11.0,16.0,1975.0,1.0,9.0,Birjulevo Zapadnoe,5450000
54,32.0,6.0,14.0,1993.0,2.0,8.0,Krjukovo,6630000
97,69.0,2.0,5.0,1957.0,4.0,7.0,Sokolinaja Gora,12500000
38,19.0,7.0,17.0,1987.0,1.0,8.0,Orehovo-Borisovo Juzhnoe,6500000
49,28.0,1.0,9.0,1977.0,2.0,9.0,Juzhnoe Medvedkovo,7600000
42,28.0,4.0,9.0,1968.0,2.0,6.0,Severnoe Tushino,7200000
51,30.0,3.0,17.0,2008.0,2.0,9.0,Babushkinskoe,3127850
54,31.0,14.0,16.0,1979.0,2.0,8.0,Lianozovo,9750000
58,34.0,1.0,2.0,1992.0,10.0,10.0,Krjukovo,6000000
44,27.0,2.0,9.0,1969.0,2.0,5.0,Tekstil'shhiki,6450000
49,29.0,1.0,12.0,1971.0,2.0,7.0,Koptevo,8550000
36,20.0,3.0,12.0,1967.0,1.0,9.0,Nagornoe,6870000
39,,4.0,12.0,2013.0,2.0,1.0,Poselenie Filimonkovskoe,4033260
79,47.0,8.0,17.0,2000.0,3.0,10.0,Horoshevskoe,18900000
80,1.0,16.0,1.0,2015.0,3.0,1.0,Mitino,11125983
33,15.0,12.0,14.0,2003.0,1.0,7.0,Juzhnoe Butovo,5300000
47,31.0,9.0,12.0,1969.0,2.0,8.0,Altuf'evskoe,7000000
30,17.0,5.0,,,,,Ramenki,7300000
38,19.0,11.0,17.0,2006.0,1.0,7.0,Beskudnikovskoe,6400000
44,27.0,5.0,,,,,Jasenevo,990000
52,31.0,7.0,12.0,1981.0,2.0,9.0,Kapotnja,6600000
62,36.0,1.0,5.0,1956.0,2.0,7.0,Ochakovo-Matveevskoe,8500000
51,51.0,5.0,0.0,0.0,2.0,0.0,Poselenie Vnukovskoe,6168965
74,74.0,14.0,1.0,1.0,1.0,1.0,Nekrasovka,7419500
35,19.0,11.0,12.0,1967.0,1.0,9.0,Zapadnoe Degunino,6150000
46,30.0,9.0,9.0,1975.0,2.0,6.0,Chertanovo Central'noe,7300000
32,32.0,8.0,9.0,1972.0,1.0,1.0,Chertanovo Juzhnoe,5630000
62,22.0,18.0,19.0,2010.0,1.0,12.0,Izmajlovo,4517245
47,30.0,3.0,12.0,1972.0,2.0,6.0,Chertanovo Severnoe,8800000
30,17.0,1.0,5.0,1966.0,1.0,5.0,Preobrazhenskoe,1000000
51,30.0,4.0,14.0,1995.0,2.0,8.0,Mar'ino,3000000
82,54.0,6.0,8.0,1960.0,3.0,10.0,Ajeroport,19500000
63,30.0,4.0,4.0,2015.0,2.0,12.0,Poselenie Voskresenskoe,6570520
88,,13.0,22.0,,2.0,1.0,Poselenie Moskovskij,9880696
31,21.0,1.0,9.0,1965.0,1.0,5.0,Vyhino-Zhulebino,4950000
73,73.0,12.0,17.0,2016.0,2.0,1.0,Poselenie Sosenskoe,7375220
76,45.0,9.0,17.0,1987.0,3.0,10.0,Novokosino,10300000
42,27.0,1.0,5.0,1964.0,2.0,5.0,Akademicheskoe,7000000
68,30.0,7.0,,,,,Nagatino-Sadovniki,13186113
72,,23.0,25.0,,2.0,0.0,Nekrasovka,6906500
39,22.0,8.0,12.0,1971.0,2.0,6.0,Horoshevo-Mnevniki,8770000
50,34.0,9.0,9.0,1969.0,3.0,6.0,Severnoe Medvedkovo,9200000
51,30.0,4.0,17.0,1988.0,2.0,8.0,Moskvorech'e-Saburovo,9150000
32,21.0,6.0,9.0,1964.0,1.0,5.0,Bogorodskoe,5250000
41,20.0,12.0,14.0,1985.0,1.0,8.0,Strogino,8000000
35,18.0,3.0,4.0,1958.0,1.0,8.0,Mozhajskoe,5900000
39,21.0,8.0,,,,,Birjulevo Vostochnoe,5400000
67,30.0,9.0,22.0,2006.0,2.0,10.0,Kuncevo,13100000
41,20.0,4.0,14.0,1985.0,1.0,8.0,Brateevo,6800000
35,19.0,1.0,14.0,1975.0,1.0,9.0,Ochakovo-Matveevskoe,5300000
38,16.0,2.0,14.0,1977.0,1.0,9.0,Vojkovskoe,7500000
47,31.0,3.0,,,,,Ochakovo-Matveevskoe,6500000
46,28.0,6.0,9.0,1973.0,2.0,6.0,Orehovo-Borisovo Severnoe,7800000
89,48.0,12.0,25.0,2012.0,2.0,14.0,Poselenie Moskovskij,4985156
73,45.0,17.0,17.0,1994.0,3.0,9.0,Chertanovo Juzhnoe,11000000
53,50.0,2.0,12.0,1973.0,2.0,9.0,Vyhino-Zhulebino,7450000
33,18.0,4.0,9.0,1969.0,1.0,6.0,Chertanovo Severnoe,6500000
56,40.0,2.0,5.0,1966.0,3.0,5.0,Severnoe Butovo,1200000
74,,14.0,22.0,2015.0,2.0,1.0,Nagornoe,13149382
79,45.0,5.0,17.0,2003.0,3.0,12.0,Ljublino,3000000
45,45.0,2.0,10.0,2016.0,2.0,10.0,Horoshevskoe,6979860
28,15.0,3.0,5.0,1965.0,1.0,5.0,Kotlovka,5300000
35,19.0,9.0,16.0,1976.0,1.0,8.0,Bibirevo,2000000
64,64.0,6.0,9.0,0.0,2.0,1.0,Poselenie Vnukovskoe,8474131
77,77.0,13.0,17.0,2014.0,3.0,1.0,Poselenie Vnukovskoe,8279966
57,42.0,2.0,9.0,1968.0,3.0,5.0,Ochakovo-Matveevskoe,11150000
37,19.0,10.0,16.0,1983.0,1.0,9.0,Golovinskoe,2000000
36,20.0,12.0,12.0,1965.0,1.0,9.0,Mozhajskoe,5500000
45,28.0,4.0,12.0,1966.0,2.0,5.0,Zjuzino,7700000
47,27.0,7.0,9.0,1973.0,2.0,6.0,Ivanovskoe,6400000
54,28.0,12.0,16.0,1974.0,2.0,11.0,Teplyj Stan,9500000
80,47.0,3.0,,,,,Ajeroport,4566666
83,46.0,7.0,17.0,2003.0,3.0,10.0,Mar'ino,12300000
87,50.0,14.0,16.0,1999.0,3.0,12.0,Mitino,14500000
62,32.0,4.0,12.0,2005.0,2.0,12.0,Kosino-Uhtomskoe,9000000
37,19.0,15.0,17.0,2010.0,1.0,7.0,Otradnoe,4268000
43,32.0,3.0,5.0,1960.0,2.0,5.0,Jakimanka,8400000
34,34.0,2.0,5.0,2016.0,1.0,12.0,Poselenie Novofedorovskoe,2221760
73,43.0,2.0,22.0,1990.0,3.0,10.0,Ostankinskoe,14400000
38,19.0,15.0,17.0,2002.0,1.0,7.0,Severnoe Butovo,7900000
46,,2.0,17.0,2014.0,1.0,1.0,Tverskoe,5347960
54,27.0,2.0,16.0,1975.0,2.0,11.0,Staroe Krjukovo,7000000
46,28.0,12.0,,,,,Taganskoe,1350000
62,38.0,1.0,9.0,1969.0,3.0,8.0,Preobrazhenskoe,8400000
62,33.0,11.0,14.0,2006.0,2.0,11.0,Kosino-Uhtomskoe,9150000
110,55.0,3.0,22.0,2007.0,3.0,17.0,Fili Davydkovo,25400000
45,,1.0,1.0,,1.0,1.0,Poselenie Vnukovskoe,4210817
45,,11.0,,,,,Poselenie Sosenskoe,3809700
85,54.0,4.0,12.0,2001.0,3.0,10.0,Basmannoe,16000000
107,107.0,10.0,10.0,2015.0,3.0,0.0,Ramenki,17471400
39,20.0,1.0,12.0,1979.0,1.0,8.0,Otradnoe,990000
138,89.0,3.0,3.0,2013.0,1.0,42.0,Poselenie Pervomajskoe,5490000
45,30.0,4.0,12.0,1972.0,2.0,6.0,Birjulevo Vostochnoe,3000000
34,27.0,6.0,12.0,1982.0,1.0,7.0,Nizhegorodskoe,6640000
66,39.0,5.0,12.0,1975.0,3.0,8.0,Bibirevo,10000000
33,17.0,5.0,5.0,1950.0,1.0,7.0,Lefortovo,6550000
53,28.0,15.0,23.0,2007.0,2.0,8.0,Ramenki,13800000
54,32.0,8.0,17.0,1997.0,2.0,9.0,Mitino,8250000
39,26.0,9.0,5.0,1965.0,2.0,5.0,Bogorodskoe,7800000
42,28.0,7.0,9.0,1968.0,2.0,5.0,Hovrino,7400000
38,20.0,6.0,22.0,2007.0,1.0,10.0,Severnoe,6250000
82,76.0,5.0,,,,,Mitino,11478846
37,18.0,7.0,22.0,2001.0,1.0,10.0,Kon'kovo,8500000
30,17.0,2.0,5.0,1966.0,1.0,5.0,Novogireevo,5450000
33,17.0,5.0,5.0,2005.0,1.0,6.0,Poselenie Marushkinskoe,3600000
37,37.0,7.0,15.0,2015.0,1.0,37.0,Poselenie Shherbinka,3140280
85,,5.0,17.0,,3.0,1.0,Poselenie Vnukovskoe,9349748
41,20.0,9.0,12.0,1983.0,1.0,8.0,Juzhnoe Medvedkovo,6700000
86,70.0,37.0,38.0,2011.0,1.0,0.0,Horoshevskoe,9366623
62,62.0,23.0,24.0,2014.0,2.0,10.0,Poselenie Vnukovskoe,7551312
60,42.0,10.0,12.0,1974.0,3.0,6.0,Taganskoe,10500000
89,,9.0,,,,,Pokrovskoe Streshnevo,12864950
36,19.0,8.0,17.0,2002.0,1.0,6.0,Cheremushki,10000000
33,19.0,1.0,9.0,1971.0,1.0,6.0,Veshnjaki,5000000
84,49.0,4.0,6.0,1951.0,3.0,11.0,Juzhnoportovoe,14200000
80,45.0,3.0,25.0,1981.0,3.0,10.0,Tverskoe,13500000
81,81.0,8.0,10.0,1955.0,4.0,11.0,Mar'ina Roshha,15200000
33,18.0,5.0,3.0,1960.0,1.0,6.0,Zapadnoe Degunino,5100000
38,19.0,14.0,,,,,Ljublino,5900000
55,32.0,5.0,14.0,1970.0,2.0,8.0,Babushkinskoe,10750000
31,30.0,9.0,,,,,Presnenskoe,1000000
75,44.0,2.0,17.0,1985.0,3.0,10.0,Troparevo-Nikulino,13600000
37,22.0,9.0,9.0,1961.0,2.0,7.0,Zamoskvorech'e,9300000
53,30.0,9.0,12.0,1974.0,2.0,8.0,Bibirevo,8400000
54,53.0,2.0,,,,,Nizhegorodskoe,5700000
38,20.0,1.0,14.0,2002.0,1.0,8.0,Bibirevo,5850000
17,13.0,5.0,5.0,1961.0,1.0,0.0,Sokolinaja Gora,3000000
66,44.0,10.0,12.0,1969.0,3.0,9.0,Golovinskoe,2000000
58,43.0,4.0,5.0,1962.0,3.0,5.0,Mar'ina Roshha,9500000
45,28.0,4.0,14.0,1973.0,2.0,5.0,Pechatniki,6400000
39,18.0,12.0,14.0,1974.0,1.0,8.0,Pokrovskoe Streshnevo,6650000
34,19.0,4.0,9.0,1973.0,1.0,8.0,Teplyj Stan,6300000
63,44.0,3.0,9.0,1969.0,3.0,7.0,Kon'kovo,10400000
32,18.0,6.0,9.0,1970.0,1.0,6.0,Losinoostrovskoe,5300000
63,38.0,8.0,9.0,1977.0,3.0,8.0,Juzhnoe Medvedkovo,11900000
79,,15.0,17.0,,3.0,1.0,Poselenie Vnukovskoe,8354856
41,20.0,7.0,12.0,1985.0,1.0,8.0,Perovo,6050000
72,41.0,9.0,12.0,1981.0,3.0,9.0,Silino,4000000
54,34.0,4.0,4.0,1956.0,2.0,8.0,Donskoe,2000000
51,31.0,14.0,17.0,1991.0,2.0,8.0,Mar'ino,8900000
37,17.0,15.0,23.0,1987.0,1.0,7.0,Nagatinskij Zaton,7000000
59,1.0,1.0,1.0,1.0,1.0,1.0,Nekrasovka,6028200
37,15.0,1.0,6.0,1952.0,1.0,6.0,Donskoe,11730000
31,19.0,5.0,5.0,1966.0,1.0,6.0,Tverskoe,7350000
43,28.0,2.0,,,,,Novogireevo,5250000
74,45.0,10.0,17.0,1990.0,3.0,10.0,Severnoe Butovo,11400000
60,60.0,11.0,,,,,Nekrasovka,5455000
84,46.0,6.0,24.0,2012.0,2.0,12.0,Mitino,8797000
32,19.0,8.0,9.0,1977.0,1.0,6.0,Jasenevo,5740000
59,59.0,1.0,,,,,Poselenie Moskovskij,4194444
57,35.0,3.0,14.0,2002.0,2.0,8.0,Obruchevskoe,11300000
55,29.0,12.0,25.0,2001.0,2.0,9.0,Brateevo,8800000
50,29.0,12.0,14.0,1987.0,2.0,8.0,Novokosino,8000000
58,32.0,16.0,17.0,1984.0,2.0,10.0,Kuncevo,9300000
52,30.0,14.0,14.0,1985.0,2.0,8.0,Brateevo,7400000
31,19.0,3.0,5.0,1963.0,1.0,5.0,Cheremushki,5225000
46,29.0,5.0,9.0,1972.0,2.0,5.0,Chertanovo Juzhnoe,1000000
73,73.0,5.0,5.0,0.0,2.0,1.0,Tverskoe,9009389
186,86.0,3.0,3.0,2010.0,4.0,32.0,Timirjazevskoe,15000000
46,28.0,1.0,9.0,1970.0,2.0,6.0,Hovrino,2000000
77,51.0,2.0,8.0,1957.0,3.0,8.0,Gagarinskoe,21500000
65,43.0,4.0,12.0,1972.0,3.0,6.0,Ostankinskoe,11500000
40,16.0,7.0,1.0,,1.0,12.0,Poselenie Voskresenskoe,5265572
66,46.0,13.0,16.0,1983.0,3.0,7.0,Basmannoe,13300000
35,18.0,2.0,12.0,1980.0,1.0,6.0,Altuf'evskoe,5600000
46,27.0,9.0,12.0,1973.0,2.0,6.0,Ostankinskoe,9100000
53,28.0,6.0,8.0,1962.0,2.0,9.0,Presnenskoe,2000000
36,,11.0,1.0,2014.0,1.0,1.0,Strogino,7644175
32,18.0,6.0,9.0,1990.0,1.0,6.0,Veshnjaki,5400000
29,17.0,5.0,5.0,1964.0,1.0,5.0,Preobrazhenskoe,4750000
74,41.0,7.0,14.0,1994.0,3.0,8.0,Caricyno,14250000
30,18.0,2.0,5.0,1960.0,1.0,6.0,Presnenskoe,5450000
37,19.0,17.0,17.0,1991.0,1.0,8.0,Krjukovo,4500000
31,15.0,1.0,9.0,1969.0,1.0,6.0,Pechatniki,1000000
52,30.0,11.0,17.0,1990.0,2.0,8.0,Babushkinskoe,6500000
38,18.0,17.0,25.0,2001.0,1.0,9.0,Brateevo,6800000
82,76.0,23.0,23.0,1990.0,3.0,1.0,Mitino,11754864
53,30.0,11.0,16.0,1980.0,2.0,8.0,Lianozovo,9000000
77,52.0,7.0,14.0,1995.0,3.0,11.0,Krjukovo,1300000
39,17.0,6.0,17.0,2008.0,1.0,8.0,Beskudnikovskoe,5550000
38,19.0,4.0,16.0,1974.0,1.0,9.0,Bogorodskoe,6800000
80,40.0,5.0,30.0,2012.0,2.0,13.0,Zjuzino,14634800
58,32.0,11.0,17.0,1990.0,2.0,10.0,Krjukovo,6800000
62,38.0,4.0,9.0,1976.0,3.0,7.0,Danilovskoe,2200000
110,,26.0,,,,,Juzhnoportovoe,16118400
35,19.0,4.0,12.0,1976.0,1.0,7.0,Birjulevo Vostochnoe,4500000
97,56.0,16.0,23.0,2007.0,3.0,10.0,Kurkino,3000000
39,39.0,8.0,,,,,Poselenie Sosenskoe,3940200
42,26.0,1.0,5.0,1964.0,2.0,6.0,Pechatniki,5300000
75,43.0,5.0,14.0,1995.0,3.0,10.0,Matushkino,1000000
78,44.0,4.0,17.0,2002.0,3.0,12.0,Moskvorech'e-Saburovo,13250000
64,1.0,7.0,15.0,2015.0,2.0,1.0,Poselenie Sosenskoe,5566140
84,57.0,5.0,,,,,Taganskoe,16200000
132,70.0,24.0,25.0,2009.0,3.0,18.0,Poselenie Moskovskij,6700000
32,16.0,8.0,12.0,1973.0,1.0,7.0,Ivanovskoe,5500000
62,32.0,3.0,17.0,2014.0,2.0,10.0,Poselenie Desjonovskoe,5654553
54,32.0,11.0,17.0,2000.0,2.0,9.0,Mar'ino,11100000
38,20.0,8.0,12.0,1983.0,1.0,8.0,Birjulevo Vostochnoe,5100000
74,45.0,2.0,17.0,1989.0,3.0,10.0,Juzhnoportovoe,10850000
59,44.0,4.0,9.0,1970.0,2.0,6.0,Veshnjaki,1000000
58,58.0,2.0,17.0,2013.0,2.0,10.0,Poselenie Desjonovskoe,5361876
42,17.0,5.0,17.0,1998.0,1.0,12.0,Ramenki,11200000
41,21.0,4.0,12.0,1983.0,1.0,8.0,Ljublino,6250000
30,18.0,1.0,5.0,1963.0,1.0,5.0,Bogorodskoe,3900000
62,62.0,2.0,22.0,2015.0,1.0,1.0,Poselenie Shherbinka,5069673
33,18.0,1.0,12.0,1971.0,1.0,9.0,Caricyno,5100000
103,103.0,24.0,,,,,Poselenie Moskovskij,8269489
36,36.0,1.0,17.0,1986.0,1.0,7.0,Kon'kovo,5650000
36,17.0,18.0,22.0,2012.0,1.0,9.0,Zjuzino,2000000
86,86.0,13.0,1.0,1.0,3.0,1.0,Poselenie Sosenskoe,9239506
59,,19.0,21.0,,2.0,1.0,Tverskoe,6146400
73,43.0,11.0,16.0,1982.0,3.0,10.0,Troparevo-Nikulino,13500000
20,14.0,4.0,,,,,Solncevo,2716000
61,32.0,15.0,17.0,2008.0,2.0,12.0,Poselenie Moskovskij,3965000
44,29.0,3.0,4.0,1890.0,3.0,6.0,Krasnosel'skoe,12500000
84,,13.0,22.0,0.0,3.0,1.0,Poselenie Vnukovskoe,9982898
35,34.0,4.0,10.0,2013.0,1.0,10.0,Poselenie Filimonkovskoe,2503764
44,28.0,3.0,9.0,1973.0,2.0,5.0,Gol'janovo,6800000
54,38.0,5.0,,,,,Ljublino,6100000
75,44.0,14.0,17.0,2015.0,3.0,10.0,Nekrasovka,6993600
45,26.0,9.0,,,,,Jaroslavskoe,1000000
91,87.0,3.0,4.0,0.0,3.0,12.0,Poselenie Pervomajskoe,5955300
58,54.0,7.0,,,,,Mitino,7670520
44,30.0,2.0,5.0,1960.0,2.0,5.0,Horoshevo-Mnevniki,7200000
79,51.0,1.0,5.0,1959.0,3.0,8.0,Timirjazevskoe,10925000
31,19.0,3.0,5.0,1961.0,1.0,5.0,Pokrovskoe Streshnevo,6700000
65,35.0,7.0,12.0,1.0,2.0,1.0,Zapadnoe Degunino,5415070
40,18.0,2.0,17.0,2004.0,1.0,8.0,Severnoe Butovo,7250000
38,,17.0,17.0,,1.0,1.0,Tverskoe,4370781
31,16.0,5.0,5.0,1960.0,1.0,5.0,Akademicheskoe,6600000
50,34.0,6.0,9.0,1968.0,3.0,6.0,Kuz'minki,7050000
39,39.0,9.0,17.0,2015.0,1.0,1.0,Poselenie Filimonkovskoe,3205282
36,22.0,5.0,,,,,Caricyno,5200000
61,1.0,8.0,17.0,2014.0,2.0,1.0,Poselenie Sosenskoe,8020375
53,30.0,7.0,,,,,Fili Davydkovo,8400000
62,62.0,16.0,17.0,1.0,2.0,1.0,Poselenie Moskovskij,5294087
41,26.0,5.0,5.0,1965.0,2.0,8.0,Severnoe Izmajlovo,5400000
56,42.0,4.0,5.0,1964.0,3.0,5.0,Ljublino,8100000
37,,10.0,17.0,,1.0,1.0,Solncevo,3860454
55,28.0,18.0,18.0,2006.0,2.0,9.0,Bogorodskoe,10750000
47,45.0,9.0,9.0,1976.0,2.0,6.0,Cheremushki,2000000
38,19.0,9.0,17.0,2000.0,1.0,8.0,Beskudnikovskoe,1000000
65,64.0,11.0,12.0,2015.0,3.0,11.0,Poselenie Filimonkovskoe,4605291
32,21.0,8.0,9.0,1962.0,1.0,5.0,Ostankinskoe,2000000
33,33.0,2.0,9.0,1970.0,1.0,6.0,Chertanovo Central'noe,5600000
79,47.0,3.0,9.0,2003.0,3.0,8.0,Juzhnoe Butovo,10900000
47,31.0,1.0,12.0,1967.0,2.0,8.0,Preobrazhenskoe,7550000
39,,9.0,20.0,2016.0,1.0,10.0,Nagornoe,8630820
30,18.0,4.0,5.0,1962.0,1.0,5.0,Horoshevo-Mnevniki,5100000
31,18.0,4.0,9.0,1963.0,1.0,7.0,Juzhnoportovoe,7100000
58,31.0,4.0,,,,,Jasenevo,9200000
51,51.0,3.0,17.0,0.0,2.0,1.0,Tverskoe,6192373
74,,1.0,0.0,,2.0,0.0,Poselenie Vnukovskoe,6330265
58,42.0,7.0,9.0,1974.0,3.0,6.0,Staroe Krjukovo,7500000
35,18.0,6.0,9.0,1976.0,1.0,8.0,Zamoskvorech'e,8750000
42,29.0,1.0,,,,,Kon'kovo,5600000
37,19.0,13.0,14.0,1974.0,1.0,9.0,Perovo,6500000
55,37.0,5.0,5.0,1962.0,3.0,5.0,Filevskij Park,5000000
59,59.0,4.0,25.0,,2.0,1.0,Poselenie Moskovskij,5876815
82,82.0,4.0,10.0,0.0,3.0,8.0,Ochakovo-Matveevskoe,1100000
77,46.0,9.0,14.0,1993.0,3.0,10.0,Vyhino-Zhulebino,11000000
43,28.0,5.0,5.0,1963.0,2.0,5.0,Losinoostrovskoe,5800000
36,16.0,4.0,12.0,1986.0,1.0,7.0,Otradnoe,7000000
52,52.0,17.0,17.0,2014.0,2.0,1.0,Poselenie Vnukovskoe,6124801
36,17.0,14.0,17.0,1981.0,1.0,10.0,Birjulevo Vostochnoe,5000000
120,1.0,6.0,6.0,2014.0,3.0,1.0,Izmajlovo,23975728
57,,20.0,1.0,1.0,2.0,1.0,Mitino,9704567
39,20.0,1.0,12.0,1980.0,1.0,8.0,Strogino,6350000
39,,17.0,1.0,,1.0,1.0,Nekrasovka,4542500
35,17.0,5.0,12.0,1978.0,1.0,6.0,Otradnoe,4500000
64,64.0,2.0,17.0,,2.0,1.0,Poselenie Moskovskij,5861293
31,19.0,2.0,5.0,1962.0,1.0,5.0,Juzhnoe Tushino,5250000
31,17.0,4.0,5.0,1963.0,1.0,5.0,Metrogorodok,5515000
89,,22.0,22.0,2013.0,3.0,1.0,Chertanovo Severnoe,13194708
43,26.0,3.0,5.0,1967.0,2.0,5.0,Golovinskoe,7700000
40,,17.0,17.0,,1.0,1.0,Poselenie Moskovskij,3800280
